"id","activity","HU","MHC","HC50","LD50","EC50","LC50","IC50","NH"
"1877","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1878","No hemolysis at 50µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 50µM (non-hemolytic)"
"1879","No hemolysis at 50µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 50µM (non-hemolytic)"
"1880","0%hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0%hemolysis at 100µM (non-hemolytic)"
"1881","0%hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0%hemolysis at 100µM (non-hemolytic)"
"1882","No hemolysis at 10µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 10µM (non-hemolytic)"
"1883","No hemolysis at 10µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 10µM (non-hemolytic)"
"1884","No hemolysis at 10µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 10µM (non-hemolytic)"
"1885","No hemolysis at 10µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 10µM (non-hemolytic)"
"1886","No hemolysis at 10µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 10µM (non-hemolytic)"
"1887","No hemolysis at 10µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 10µM (non-hemolytic)"
"1888","No hemolysis at 10µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 10µM (non-hemolytic)"
"1889","No hemolysis at 10µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 10µM (non-hemolytic)"
"1890","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"1891","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"1892","no hemolysis upto 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","no hemolysis upto 100μM (non-hemolytic)"
"1893","no hemolysis upto 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","no hemolysis upto 100μM (non-hemolytic)"
"1894","<1% hemolysis at 120μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1895","<1% hemolysis at 120μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1896","<1% hemolysis at 120μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1897","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1898","0% hemolysis at 200μg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 200μg/ml (non-hemolytic)"
"1899","0% hemolysis at 200μg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 200μg/ml (non-hemolytic)"
"1900","0% hemolysis at 200μg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 200μg/ml (non-hemolytic)"
"1901","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1902","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1903","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"1904","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"1905","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"1906","0% hemolysis at 360µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 360µM (non-hemolytic)"
"1907","0% hemolysis at 360µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 360µM (non-hemolytic)"
"1908","0% hemolysis at 360µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 360µM (non-hemolytic)"
"1909","0% hemolysis at 360µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 360µM (non-hemolytic)"
"1910","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"1911","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"1912","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"1913","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"1914","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"1915","No hemolysis at 6µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 6µM (non-hemolytic)"
"1916","No hemolysis at 6µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 6µM (non-hemolytic)"
"1917","No hemolysis at 1000µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 1000µg/ml (non-hemolytic)"
"1918","No hemolysis at 1000µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 1000µg/ml (non-hemolytic)"
"1919","No hemolysis at 1000µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 1000µg/ml (non-hemolytic)"
"1920","No hemolysis at 1000µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 1000µg/ml (non-hemolytic)"
"1921","No hemolysis at 1000µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 1000µg/ml (non-hemolytic)"
"1922","No hemolysis at 1000µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 1000µg/ml (non-hemolytic)"
"1923","No hemolysis at 1000µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 1000µg/ml (non-hemolytic)"
"1924","No hemolysis at 1000µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","No hemolysis at 1000µg/ml (non-hemolytic)"
"1925","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1926","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1927","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1928","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1929","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1930","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1931","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1932","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1933","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1934","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1935","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1936","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1937","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1938","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1939","LC50 = 280µM","NA","NA","NA","NA","NA","LC50 = 280µM","NA","NA"
"1940","10% hemolysis 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1941","20% hemolysis 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1942","45-50% hemolysis 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1943","10% hemolysis 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1944","55% hemolysis 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1945","LD50 = 55µM","NA","NA","NA","LD50 = 55µM","NA","NA","NA","NA"
"1946","LD50 = 24µM","NA","NA","NA","LD50 = 24µM","NA","NA","NA","NA"
"1947","LD50 = 11µM","NA","NA","NA","LD50 = 11µM","NA","NA","NA","NA"
"1948","LD50 = >500µM","NA","NA","NA","LD50 = >500µM","NA","NA","NA","NA"
"1949","LD50 = >500µM","NA","NA","NA","LD50 = >500µM","NA","NA","NA","NA"
"1950","LD50 = >500µM","NA","NA","NA","LD50 = >500µM","NA","NA","NA","NA"
"1951","LD50 = 300µM","NA","NA","NA","LD50 = 300µM","NA","NA","NA","NA"
"1952","LD50 = 150µM","NA","NA","NA","LD50 = 150µM","NA","NA","NA","NA"
"1953","LD50 = >500µM","NA","NA","NA","LD50 = >500µM","NA","NA","NA","NA"
"1954","LD50 = >500µM","NA","NA","NA","LD50 = >500µM","NA","NA","NA","NA"
"1955","LD50 = >500µM","NA","NA","NA","LD50 = >500µM","NA","NA","NA","NA"
"1956","LD50 = 22µM","NA","NA","NA","LD50 = 22µM","NA","NA","NA","NA"
"1957","LD50 = 140µM","NA","NA","NA","LD50 = 140µM","NA","NA","NA","NA"
"1958","LD50 = 400µM","NA","NA","NA","LD50 = 400µM","NA","NA","NA","NA"
"1959","LD50 = >500µM","NA","NA","NA","LD50 = >500µM","NA","NA","NA","NA"
"1960","LD50 = 15µM","NA","NA","NA","LD50 = 15µM","NA","NA","NA","NA"
"1961","LD50 = 350µM","NA","NA","NA","LD50 = 350µM","NA","NA","NA","NA"
"1962","LD50 = 110µM","NA","NA","NA","LD50 = 110µM","NA","NA","NA","NA"
"1963","LD50 = 80µM","NA","NA","NA","LD50 = 80µM","NA","NA","NA","NA"
"1964","LD50 = 60µM","NA","NA","NA","LD50 = 60µM","NA","NA","NA","NA"
"1965","LD50 = 25µM","NA","NA","NA","LD50 = 25µM","NA","NA","NA","NA"
"1966","LD50 = 25µM","NA","NA","NA","LD50 = 25µM","NA","NA","NA","NA"
"1967","50% hemolysis at 40µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1968","90% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1969","50-55% hemolysis at 40µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1970","55-60% hemolysis at 80µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1971","20-30% hemolysis at40µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1972","20-30% hemolysis at 40µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1973","80-85% hemolysis at 15µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1974","81-85% hemolysis at 15µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1975","82-85% hemolysis at 15µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1976","83-85% hemolysis at 15µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1977","84-85% hemolysis at 15µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1978","85-85% hemolysis at 15µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1979","86-85% hemolysis at 15µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1980","87-85% hemolysis at 15µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1981","88-85% hemolysis at 15µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1982","89-85% hemolysis at 15µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1983","30-40% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1984","50-60% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1985","65-70% hemolysis at 10µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1986","80-85% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1987","50-60% hemolysis at 10µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1988","90-95% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1989","HC50 = 55µM","NA","NA","HC50 = 55µM","NA","NA","NA","NA","NA"
"1990","HC50 = 65µM","NA","NA","HC50 = 65µM","NA","NA","NA","NA","NA"
"1991","HC50 = 125µM","NA","NA","HC50 = 125µM","NA","NA","NA","NA","NA"
"1992","HC50 = 100µM","NA","NA","HC50 = 100µM","NA","NA","NA","NA","NA"
"1993","HC50 = 80µM","NA","NA","HC50 = 80µM","NA","NA","NA","NA","NA"
"1994","HC50 = 150µM","NA","NA","HC50 = 150µM","NA","NA","NA","NA","NA"
"1995","HC50 = 7µM","NA","NA","HC50 = 7µM","NA","NA","NA","NA","NA"
"1996","HC50 = >300µM","NA","NA","HC50 = >300µM","NA","NA","NA","NA","NA"
"1997","HC50 = >300µM","NA","NA","HC50 = >300µM","NA","NA","NA","NA","NA"
"1998","60% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1999","100% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2000","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2001","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2002","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2003","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2004","IC50 = 26µM","NA","NA","NA","NA","NA","NA","IC50 = 26µM","NA"
"2005","IC50 = 77µM","NA","NA","NA","NA","NA","NA","IC50 = 77µM","NA"
"2006","22.5% hemolysis at 30µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2007","39.9% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2008","LC50 = 145µM","NA","NA","NA","NA","NA","LC50 = 145µM","NA","NA"
"2009",">20% hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2010","60% hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2011","~90% hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2012","~90% hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2013","68.2% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2014","37.9% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2015","13.8% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2016","11.9% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2017","93.4% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2018","60.1% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2019","6.0% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2020","8.5% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2021","66.2% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2022","59.1% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2023","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2024","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2025","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2026","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2027","<10% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2028","<10% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2029","<10% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2030","<10% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2031","100% hemolysis at 200µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2032","100% hemolysis at 200µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2033","~90% hemolysis at 200µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2034","MHC >6.8 x10-3 g ml-1","NA","MHC >6.8 x10-3 g ml-1","NA","NA","NA","NA","NA","NA"
"2035","MHC >6.4 x10-3 g ml-1","NA","MHC >6.4 x10-3 g ml-1","NA","NA","NA","NA","NA","NA"
"2036","MHC >6.7 x10-3 g ml-1","NA","MHC >6.7 x10-3 g ml-1","NA","NA","NA","NA","NA","NA"
"2037","MHC >2.6 x10-3 g ml-1","NA","MHC >2.6 x10-3 g ml-1","NA","NA","NA","NA","NA","NA"
"2038","MHC >2.8 x10-3 g ml-1","NA","MHC >2.8 x10-3 g ml-1","NA","NA","NA","NA","NA","NA"
"2039","MHC >3.0 x10-3 g ml-1","NA","MHC >3.0 x10-3 g ml-1","NA","NA","NA","NA","NA","NA"
"2040","7% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2041","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2042","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2043","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2044","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2045","HC50 >500","NA","NA","HC50 >500","NA","NA","NA","NA","NA"
"2046","HC50 >500","NA","NA","HC50 >500","NA","NA","NA","NA","NA"
"2047","HC50 >500","NA","NA","HC50 >500","NA","NA","NA","NA","NA"
"2048","HC50 >500","NA","NA","HC50 >500","NA","NA","NA","NA","NA"
"2049","HC50 >500","NA","NA","HC50 >500","NA","NA","NA","NA","NA"
"2050","HC50 >500","NA","NA","HC50 >500","NA","NA","NA","NA","NA"
"2051","HC50 >500","NA","NA","HC50 >500","NA","NA","NA","NA","NA"
"2052","HC50 >~26","NA","NA","HC50 >~26","NA","NA","NA","NA","NA"
"2053","HC50 >~12","NA","NA","HC50 >~12","NA","NA","NA","NA","NA"
"2054","HC50 >~24","NA","NA","HC50 >~24","NA","NA","NA","NA","NA"
"2055","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2056","EC50 = 31 (23–41)µM","NA","NA","NA","NA","EC50 = 31 (23–41)µM","NA","NA","NA"
"2057","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2058","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2059","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2060","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2061","EC50 = 64 (68–70)µM","NA","NA","NA","NA","EC50 = 64 (68–70)µM","NA","NA","NA"
"2062","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2063","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2064","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2065","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2066","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2067","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2068","0% hemolysis at 128µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 128µM (non-hemolytic)"
"2069","~70% hemolysis at 128µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2070","2.5% hemolysis at 12.5µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2071","3.5% hemolysis at 25µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2072","5.5% hemolysis at 50µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2073","Very little hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2074","~4% hemolysis at 60µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2075","~3% hemolysis at 60µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2076","LD50 =520µM","NA","NA","NA","LD50 =520µM","NA","NA","NA","NA"
"2077","LD50 =480µM","NA","NA","NA","LD50 =480µM","NA","NA","NA","NA"
"2078","LD50 >480µM","NA","NA","NA","LD50 >480µM","NA","NA","NA","NA"
"2079","LD50 >480µM","NA","NA","NA","LD50 >480µM","NA","NA","NA","NA"
"2080","LD50 >600µM","NA","NA","NA","LD50 >600µM","NA","NA","NA","NA"
"2081","LD50 = 220µM","NA","NA","NA","LD50 = 220µM","NA","NA","NA","NA"
"2082","LD50 = 40µM","NA","NA","NA","LD50 = 40µM","NA","NA","NA","NA"
"2083","0% hemolysis at 200µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 200µg/ml (non-hemolytic)"
"2084","0%  hemolysis at 10µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0%  hemolysis at 10µM (non-hemolytic)"
"2085","100%  hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2086","19%  hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2087","75%  hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2088","17.8%  hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2089","53% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2090","LC50 = 225µM","NA","NA","NA","NA","NA","LC50 = 225µM","NA","NA"
"2091","LC50 >300µM","NA","NA","NA","NA","NA","LC50 >300µM","NA","NA"
"2092","LC50 >300µM","NA","NA","NA","NA","NA","LC50 >300µM","NA","NA"
"2093","LC50 = 160µM","NA","NA","NA","NA","NA","LC50 = 160µM","NA","NA"
"2094","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2095","100% hemolysis at 30 µg/mL","NA","NA","NA","NA","NA","NA","NA","NA"
"2096","95-100% hemolysis at 60 µg/mL","NA","NA","NA","NA","NA","NA","NA","NA"
"2097","95-100% hemolysis at 60 µg/mL","NA","NA","NA","NA","NA","NA","NA","NA"
"2098","~10% hemolsis at 60 µg/mL","NA","NA","NA","NA","NA","NA","NA","NA"
"2099","~40 % hemolysis at 60 µg/mL","NA","NA","NA","NA","NA","NA","NA","NA"
"2100","6% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2101","15% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2102","4% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2103","8% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2104","50% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2105","93% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2106","45% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2107","90% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2108","15% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2109","45% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2110","0% upto 2.013 mM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% upto 2.013 mM (non-hemolytic)"
"2111","zone of inhibition (2mm) at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2112","zone of inhibition (1mm) at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2113","zone of inhibition (1mm) at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2114","zone of inhibition not detected at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2115","zone of inhibition (2mm) at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2116","zone of inhibition not detected at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2117","zone of inhibition (4mm) at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2118","zone of inhibition (1.5mm) at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2119","zone of inhibition (3mm) at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2120","zone of inhibition (1mm) at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2121","zone of inhibition not detected at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2122","zone of inhibition not detected at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2123","zone of inhibition not detected at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2124","zone of inhibition not detected at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2125","zone of inhibition not detected at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2126","zone of inhibition not detected at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2127","zone of inhibition not detected at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2128","zone of inhibition not detected at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2129","zone of inhibition not detected at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2130","zone of inhibition not detected at 0.4-0.5mM","NA","NA","NA","NA","NA","NA","NA","NA"
"2131","0% hemolysis at 100 µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100 µg/ml (non-hemolytic)"
"2132","0% hemolysis at 100 µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100 µg/ml (non-hemolytic)"
"2133","8% hemolysis at 100 µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2134","37% hemolysis at 100 µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2135","30% hemolysis at 10μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2136","70% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2137","15% hemolysis at 10μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2138","35% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2139","5% hemolysis at 10μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2140","30% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2141","10% hemolysis at 10μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2142","30% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2143","5% hemolysis at 10μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2144","25% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2145","12% hemolysis at 10μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2146","70% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2147","100% hemolysis at .7μM","NA","NA","NA","NA","NA","NA","NA","NA"
